Code,Name,Symptoms,Treatments
49,Пайелонефрит,"Жара, охлаждение, боль в спине или пашине, частое мочеиспускание","Антибиотики (такие, как фторквинолоны, кефалоспорины или тринтетоприм-сульфаметоксазол) для поражения конкретных бактерий, вызывающих инфекцию, адекватная гидрация, обезболивание (такие, как болеутоляющие средства или лекарства по рецепту), госпитализация (для тяжелых случаев или осложнений), культура мочи для ориентации на антибиотикную терапию"
50,Вращение наручников,"Боль в плече, слабость или потеря силы, ограниченный диапазон движения, жесткость плеча","Варианты нехирургической терапии: отдых, лед или теплотерапия, обезболивающие средства, физиотерапия, артроскопическая хирургия"
51,Фибромиалгия,"Широко распространенная мускулоскелетная боль, усталость, нарушения сна","Лекарства (такие, как обезболивающие средства, антидепрессанты, антиконвульсанты), физиотерапия, когнитивно-поведенческая терапия, методы снятия стресса, упражнения, методы отдыха, гигиена сна"
52,Хронический синдром усталости,"Экстремальная усталость, когнитивные трудности, невозобновленный сон","Регулирование симптомов (таких, как лекарственные средства для борьбы с болью, расстройствами сна и другими симптомами), аттестационная терапия, когнитивно-поведенческая терапия, методы управления сном, спаление и энергосбережение, методы снижения стресса, поддержка в питании, лекарства от конкретных симптомов"
53,Сложный региональный синдром боли (КПИ),"Острая и устойчивая боль, изменения цвета или температуры кожи, опухоль, жесткость","Лекарства (такие, как обезболивающие, кортикостероиды, антиконвульсанты), физиотерапия, сочувствующие нервные блоки, стимуляция спинного мозга, трудовая терапия, зеркальная терапия, психотерапия, снимки моторных двигателей, методы снятия стресса"
54,Синдром миофастической боли,"Локализованная мышечная боль, пусковые точки","Физическая терапия, инъекции в пусковой точке, сухая жажда, лекарства (такие, как обезболивающие средства, релаксаторы мышц), методы релаксации, регулирование стресса, массажная терапия, миофастическое высвобождение, тепло или холодная терапия"
55,Хроническая мигрень,Периодические мигрени с потерей трудоспособности,"Лекарства (такие, как профилактические препараты, обезболивающие средства, трипттаны), изменения в образе жизни (такие, как выявление пусковых установок, регулирование стресса, регулярные модели сна), методы релаксации, биопоглощающая терапия, когнитивная поведенческая терапия, нервные блоки, инъекции ботокс, нейромодуляционные устройства, акуперация"
56,Невропатическая боль,"Стрельба или горящая боль, покалывание или онемение","Лекарства (такие, как антидепрессанты, антиконвульсанты, тематическое лечение), нервные блоки, стимуляция спинного мозга, физиотерапия, трудовая терапия, транскутановая электрическая стимуляция нервов (ТЕС), иглоукалывание, когнитивно-поведенческая терапия, методы релаксации"
57,Гестанционный диабет,Высокий уровень сахара в крови во время беременности,"Мониторинг сахара в крови, изменение здорового рациона питания, регулярные упражнения, инъекции инсулина (при необходимости), тщательный контроль со стороны медицинских работников"
58,Гипертензия по причине беременности,Высокое кровяное давление во время беременности,"Мониторинг кровяного давления, изменения образа жизни (такие, как ограничение соли, регулярные упражнения), лекарства (такие, как антигипертонические препараты), в случае необходимости, тщательный контроль со стороны медицинских работников"
59,Гипертензия,Высокое кровяное давление без протеинурии (преэклампсия),"Мониторинг кровяного давления, изменения образа жизни (такие, как ограничение соли, регулярные упражнения), лекарства (такие, как антигипертонические препараты), в случае необходимости, тщательный контроль со стороны медицинских работников"
60,Преэклампсия,"Высокое кровяное давление, протеина, опухоль, головные боли, нарушения зрения","Постельный режим, контроль кровяного давления, частые дородовые посещения, лекарства (такие, как антигипертонические препараты), сульфат магния (в тяжелых случаях), роды (в тяжелых случаях)"
61,Гиперэмесис Гравидарум,Острая тошнота и рвота во время беременности,"Внутривенные жидкости для предотвращения обезвоживания, лекарств против тошноты, питательной поддержки, отдыха, контроля за потерей веса и дисбаланса электролитов"
62,Инфекция мочевого тракта (UTI),"Больно мочеиспускание, частое мочеиспускание, боль в тазе, облачная моча","Антибиотики, безопасные для беременности, повышенный уровень потребления жидкости, нормальная гигиена, мочевая культура и анализ чувствительности к антибиотикам"
63,Анемия,"Усталость, слабость, бледная кожа, дыхание","Железные добавки, изменения в рационе питания (обогащенные иронами продукты питания), устранение коренных причин (таких, как лечение железодефицита или витамина В12), дородовые витамины"
64,Заболевание в связи с беременностью,"Боль в нижней части спины, дискомфорт в тазовой области","Дородовые упражнения (такие, как растягивание и укрепление), хорошая осанка, теплотерапия или холодная терапия, дородовой массаж, вспомогательные устройства (такие, как пояса для беременности), физиотерапия"
65,Боль в круглых связках,Острая или мучительная боль в нижней части живота или пахе,"Отдых, медленное изменение положения, теплое сжатие, мягкое растяжение, избежание резких движений"
66,Плацента Превия,"Вагинальное кровотечение, безболезненное кровотечение в третьем триместре","Отдых в постель, отказ от интенсивной деятельности, частые дородовые осмотры, потенциальная госпитализация, потенциальные роды кесарева сечения"
67,Синдром запястного туннеля,"Покалывание, онемение и боль в руке и пальцах","Зажимы, избегающие повторяющихся движений рук, применение холодных или горячих компрессий, мягкие упражнения, эргономическая регулировка"
68,Сциатика,"Острая боль, покалывание или онемение, которые излучаются из нижней части спинки через бедра и вниз по ноге","Отдых, мягкие упражнения, теплое или холодное сжатие, дородовой массаж, поддержание хорошей осанки, отказ от действий, усугубляющих боль"
69,Варикосовые вены,"Расширенные, опухшие вены, часто в ногах","Повышенные ноги, ношение компрессионных чулок, регулярное упражнение, избежание длительного пребывания или стояния, поддержание здорового веса"
70,Геморрой,"Запухшие, зудящие или болезненные вены в ректальной области","Увеличение количества поглощающих волокна, сохранение гидрированных веществ, недопущение перенапряжения во время движения кишечника, тёплые ванны, тематические кремы или мазки, обезболивающие обезболивающие средства (после консультаций с медицинским работником)"
71,Гестанционный холестаз,"Кожа чешется, особенно на руках и ногах",
72,Рак печени,"Боль в животе, желтуха (желтый цвет кожи и глаз), необъяснимая потеря веса, потеря аппетита, усталость, тошнота, рвота","Хирургия, радиационная терапия, химиотерапия, целевая терапия, иммунотерапия, радиочастотная абляция, трансатериальная химемболизация (TACE), выборочная внутренняя терапия (SIRT), паллиативная помощь, клинические испытания"
73,Атектазис,"Трудное дыхание, быстрое дыхание, боль в груди","Лечение основных причин (таких, как устранение препятствий дыхательных путей, лечение инфекции легких), упражнение в глубоком дыхании, методы кашля, стимуляционная спирометрия, физиотерапия грудной клетки, лекарства от бронходилятора, дополнительная кислородная терапия"
74,Эктомическая беременность,"Вагинальное кровотечение, боли в брюшной полости или скрещивание, боль в плече (при разрыве трубки с фасадом)","Незамедлительная медицинская помощь, потенциальные медицинские процедуры (такие, как медицина или хирургия для устранения внематочной беременности), строгий контроль, эмоциональная поддержка"
75,Холедохолитаз,"Боль в брюшной полости (часто в верхнем правом квадранте), желтуха, тёмная моча, бледные стулы, тошнота, рвота, эндоскопическая ретроградная холангопанкреатография (ERCP) с удалением камня, сфинктеротомия, холецетектомия","Варианты нехирургического лечения: лекарственные средства для лечения боли и дискомфорта, антибиотики"
76,Цирроз,"Усталость, желтуха, опухоль брюшной полости (аскиты), легкая побитость и кровотечение, путаница, потеря аппетита, потеря веса","Лечение направлено на борьбу с симптомами, замедление развития заболеваний и устранение коренных причин, к числу которых могут относиться: изменение образа жизни (например, отказ от алкоголя, сохранение здорового рациона питания), медикаментоз (например, диуретика, лакулоз, противовирусные препараты), процедуры (например, парацентез, трансюгулярный внутригепатический антропосистемный шунт), трансплантация печени (в тяжелых случаях)"
77,Торатическая аневризма аорты,"Грудь или боль в груди, дыхание, хрипость, трудности с проглатыванием","Регулярный мониторинг и визуализация для оценки размера и роста аневризмы, изменения образа жизни (например, ограничение кровяного давления, отказ от курения, регулирование уровней холестерина), лекарства (например, бета-блокаторы, ингибиторы АСЕ) для регулирования кровяного давления и снижения риска разрыва, хирургическое вмешательство"
78,Субдуральное кровоизлияние,"Головная боль, путаница, головокружение, тошнота или рвота, припадки, слабость или онемение","Незамедлительная медицинская помощь, тщательный контроль за жизненными признаками и неврологическим состоянием, диагностика (такие, как КТ или МРТ), возможное хирургическое вмешательство (такие, как краниотомия или эвакуация дыр), лечение симптомов"
79,Врожденная краснуха,"Задержки развития, интеллектуальная недостаточность, потеря слуха, проблемы зрения, дефекты сердца, расширение печени или селезенки, сыпь при рождении","Оказание поддержки в преодолении симптомов и осложнений, предоставление услуг по раннему вмешательству в случае задержек в развитии, оказание поддержки в области образования, оказание помощи в прозрении и слуху, оказание специализированной медицинской помощи по мере необходимости"
80,Диабетическая ретинопатия,"Поврежденное или искаженное зрение, поплавки, поврежденное цветное зрение, темные или пустые зоны в визуальном поле, потеря зрения","Регулирование уровней сахара в крови, контроль давления в крови, регулирование холестерина, регулярные осмотры глаз, лазерное лечение, внутрививитреальные инъекции антивитрофических препаратов, витректомии"
81,Фибромиалгия,"Широко распространенная мускулоскелетная боль, усталость, нарушения сна, когнитивные трудности (фибро-туман), изменения настроения","Многодисциплинарный подход: Лекарства для борьбы с обезболиванием (такие, как анальгетика, антидепрессанты и антиконвульсанты), физиотерапия, трудовая терапия, когнитивная и поведенческая терапия, методы релаксации, борьба со стрессом, программы упражнения"
82,Ишемия купола,"Острая боль в брюшной полости, кровяные стулья, диарея, тошнота, рвота, лихорадка, быстрый сердечный ритм, низкое кровяное давление","Диагностические тесты, внутривенные жидкости и лекарства для стабилизации пациента, кишечный отдых, резекция, процедура обхода, потенциальная ангиопластика"
83,Синдром спиртного плода,"Недостатки роста, аномалии лица, задержки развития, интеллектуальная неполноценность","Услуги по раннему вмешательству в случае задержек с развитием, поддержка в области образования, речевая и профессиональная терапия, поведенческие вмешательства, медицинское регулирование связанных с этим проблем со здоровьем"
84,Перитонит,"Острая боль в брюшной полости, нежность, раздутость, лихорадка, тошнота, рвота, потеря аппетита, увеличение сердечного ритма","Внутривенные антибиотики для лечения инфекции, внутривенные жидкости для восстановления гидрации, дренажа или удаления любой лежащей жидкости или абсцесса, хирургические операции для восстановления или удаления источника инфекции"
85,Увечье живота,"Боль, нежность, синяки, опухоли, затрудненное дыхание, тошнота, рвота, изменения в движении кишечника, кровь в моче или стуле","Незамедлительная медицинская помощь, рентген, компьютерная томография, ультразвук, стабилизация жизненно важных признаков, обезболивание, наблюдение за признаками внутреннего кровотечения, возможное хирургическое вмешательство, лечение ран"
86,Острый панкреатит,"Острая боль в брюшной полости, тошнота, рвота, лихорадка, быстрый пульс, опухшая и нежная брюшная полость, желтуха","Госпитализация, внутривенные жидкости для восстановления гидрации, обезболивание, кишечный отдых, пищевая поддержка, лекарства для борьбы с болью и воспалением"
87,Тромбофлебит,"Красность, теплота, опухоль и нежность вдоль вены, боль или дискомфорт, обесцвечивание кожи, видимые вены, лихорадка","Лекарства для борьбы с болью и воспалением, чулки для сжатия или бинты в целях стимулирования кровотока, роста пораженной конечности, теплого сжимания, регулярного перемещения и упражнения, лечения коренных причин (таких, как инфекция или инъекционное удаление катетера), антикоагулирующая терапия в целях предотвращения образования или развития сгустка крови"
88,Астма,"Периодические эпизоды вздоха, сокращения дыхания, сжимания грудной клетки, кашля, особенно ночью или в ответ на такие спусковые импульсы, как аллергены или упражнения","Лекарства для долгосрочного контроля (такие, как вдыхаемые кортикостероиды, долгодействующие бета-агонисты), быстродействующие лекарства (такие, как короткодействующие бета-агонисты), избежание спусковых устройств (такие, как аллергены, дым), регулярный мониторинг симптомов и легочной функции, разработка плана действий по астме, надлежащие методы ингаляторов, регулярные последующие мероприятия с медицинским работником, экстренные лекарства (такие, как пероральные кортикостероиды) по мере необходимости"
89,Синдром неспокойной ноги,"Неудобные ощущения в ногах, обычно вечером или ночью, склоняются к тому, чтобы передвигать ноги для облегчения.","Изменения в образе жизни (такие, как регулярное упражнение, отказ от таких спусковых установок, как кофеин), гигиена сна (соблюдение обычного графика сна), массаж ног или упражнение в растягивании, горячие или холодные пакеты, медикаментозная терапия (такие, как дофаминные агоны, антиконвульсанты, опиоиды), добавка железа (при наличии железа)"
